"Time","Storage Tank 1 Outlet"
"2019-05-04 00:01:42",136.6
"2019-05-04 00:04:40",135.5
"2019-05-04 00:07:39",136
"2019-05-04 00:10:37",136.2
"2019-05-04 00:13:35",136.2
"2019-05-04 00:16:34",136.4
"2019-05-04 00:19:32",136.6
"2019-05-04 00:22:29",136.8
"2019-05-04 00:25:28",137
"2019-05-04 00:28:26",137.3
"2019-05-04 00:31:25",137.6
"2019-05-04 00:34:23",138
"2019-05-04 00:37:20",138.7
"2019-05-04 00:40:19",138.9
"2019-05-04 00:43:16",138.9
"2019-05-04 00:46:14",138.9
"2019-05-04 00:49:12",138.9
"2019-05-04 00:52:10",138.9
"2019-05-04 00:55:08",138.9
"2019-05-04 00:58:07",138.9
"2019-05-04 01:01:05",138.9
"2019-05-04 01:04:04",138.8
"2019-05-04 01:07:02",138.8
"2019-05-04 01:10:01",138.8
"2019-05-04 01:13:00",138.8
"2019-05-04 01:15:59",138.8
"2019-05-04 01:18:56",138.6
"2019-05-04 07:53:45",138.1
"2019-05-04 14:27:48",138
"2019-05-04 21:00:04",138.9
"2019-05-05 03:37:18",139.4
"2019-05-05 09:59:30",137.8
"2019-05-05 16:32:59",138.1
"2019-05-05 23:08:09",139.7
"2019-05-06 06:04:14",139.8
"2019-05-06 13:06:58",139.2
"2019-05-06 15:35:12",137.7
"2019-05-06 16:17:30",137.4
"2019-05-06 17:04:02",139.7
"2019-05-06 17:57:03",139.7
"2019-05-06 18:44:52",139.7
"2019-05-06 19:31:13",139.9
"2019-05-06 19:52:37",138.9
"2019-05-06 19:55:24",139.8
"2019-05-06 20:01:10",140
"2019-05-06 20:03:39",140
"2019-05-06 20:05:38",140
"2019-05-06 20:07:43",140
"2019-05-06 20:09:55",140
"2019-05-06 20:11:11",140
"2019-05-06 20:13:05",140
"2019-05-06 20:15:03",140
"2019-05-06 20:17:10",140
"2019-05-06 20:18:35",140
"2019-05-06 20:22:47",140
"2019-05-06 20:25:10",139.9
"2019-05-06 20:29:07",139.8
"2019-05-06 20:34:31",139.8
"2019-05-06 20:36:31",139.7
"2019-05-06 20:37:50",139.7
"2019-05-06 20:39:43",139.6
"2019-05-06 20:40:53",139.4
"2019-05-06 20:43:02",138.9
"2019-05-06 20:44:30",138.3
"2019-05-06 20:45:41",136.6
"2019-05-06 20:47:12",137.9
"2019-05-06 20:49:32",138.7
"2019-05-06 20:51:54",139.2
"2019-05-06 20:53:21",139.7
"2019-05-06 20:54:54",139.9
"2019-05-06 20:56:26",140.1
"2019-05-06 20:58:10",140
"2019-05-06 20:59:41",140
"2019-05-06 21:03:44",140
"2019-05-06 21:18:35",139.5
"2019-05-06 21:33:24",138.8
"2019-05-06 21:48:16",138.8
"2019-05-06 22:03:06",139.9
"2019-05-06 22:17:58",140.3
"2019-05-06 22:32:48",140.2
"2019-05-06 22:47:38",140
"2019-05-06 23:01:52",139
"2019-05-06 23:16:55",137.7
"2019-05-06 23:31:42",139.3
"2019-05-06 23:46:30",139.6
"2019-05-07 00:01:24",139.3
"2019-05-07 00:16:11",139.1
"2019-05-07 00:31:03",137.8
"2019-05-07 00:45:53",139.5
"2019-05-07 01:00:49",139.7
"2019-05-07 01:15:35",139.7
"2019-05-07 01:30:27",139.4
"2019-05-07 01:45:16",138.6
"2019-05-07 02:00:06",138.7
