"Time","10-11 Riser Return","10-11 Riser Supply"
"2019-05-06 19:45:58",,91.1
"2019-05-06 20:45:33",,87.7
"2019-05-06 21:36:51",,87.1
"2019-05-06 22:12:50",93.9
"2019-05-06 22:26:11",,105.4
"2019-05-06 23:19:06",,106.6
"2019-05-07 00:18:41",,103.5
"2019-05-07 01:02:11",93.1
"2019-05-07 01:18:15",,95.3
"2019-05-07 02:32:38",,89.4
"2019-05-07 03:17:16",,99.2
"2019-05-07 04:03:23",93.6
"2019-05-07 04:16:47",,99.7
"2019-05-07 05:16:15",,92.8
"2019-05-07 06:15:47",,88.1
"2019-05-07 06:49:43",94
"2019-05-07 07:14:15",,86.3
"2019-05-07 08:13:42",,87.1
"2019-05-07 09:13:15",,83.8
"2019-05-07 09:36:07",92.9
"2019-05-07 10:08:24",,84.5
"2019-05-07 11:07:56",,96.6
"2019-05-07 11:52:19",,98.3
"2019-05-07 12:22:30",92.6
"2019-05-07 12:50:48",,110
"2019-05-07 13:37:12",,100.8
"2019-05-07 14:35:18",,109.9
"2019-05-07 15:08:56",92.8
"2019-05-07 15:34:45",,98.1
"2019-05-07 16:55:07",,89
"2019-05-07 18:18:25",,83.2
"2019-05-07 19:57:00",92.4
"2019-05-07 20:25:47",,109
"2019-05-07 21:55:01",,103.5
"2019-05-07 23:18:11",,91.5
"2019-05-07 23:36:59",92
"2019-05-08 00:17:42",,87.2
"2019-05-08 01:17:09",,86.3
"2019-05-08 02:16:40",,87.4
"2019-05-08 02:23:26",92.4
"2019-05-08 03:16:08",,86.8
"2019-05-08 04:15:34",,85.9
"2019-05-08 05:09:46",92.4
"2019-05-08 05:15:08",,82.7
"2019-05-08 06:14:40",,80.5
"2019-05-08 07:14:04",,80.3
"2019-05-08 07:56:04",91.9
"2019-05-08 08:13:25",,79
"2019-05-08 09:22:27",,78.7
"2019-05-08 10:58:27",,105.8
"2019-05-08 11:46:28",,105.8
"2019-05-08 11:50:51",89.7
"2019-05-08 12:45:56",,105.7
"2019-05-08 13:32:20",,102.5
"2019-05-08 14:30:50",,114.3
"2019-05-08 14:37:11",90.4
"2019-05-08 15:30:18",,106.4
"2019-05-08 16:53:36",,94.1
"2019-05-08 17:47:22",90.6
"2019-05-08 17:53:08",,86.8
"2019-05-08 18:55:39",,82.3
"2019-05-08 19:55:05",,79.9
"2019-05-08 20:36:45",90.3
"2019-05-08 20:54:32",,78.8
"2019-05-08 21:46:35",,92.6
"2019-05-08 22:46:05",,95.6
"2019-05-08 23:23:09",89.8
"2019-05-08 23:45:38",,88.8
"2019-05-09 00:45:12",,87.9
"2019-05-09 01:44:44",,85.2
"2019-05-09 02:09:27",90.4
"2019-05-09 02:44:09",,82.6
"2019-05-09 03:38:12",,100
"2019-05-09 04:37:50",,96.9
"2019-05-09 05:13:29",90.2
"2019-05-09 05:31:41",,90.2
"2019-05-09 06:19:20",,104
"2019-05-09 07:18:51",,98.6
"2019-05-09 08:23:38",90.3
"2019-05-09 08:41:06",,95.9
"2019-05-09 09:40:34",,89.1
"2019-05-09 10:21:08",,96.6
"2019-05-09 11:10:00",87.9
"2019-05-09 11:18:50",,109.9
"2019-05-09 12:18:16",,98.5
"2019-05-09 13:17:43",,89.4
"2019-05-09 13:56:23",88.2
"2019-05-09 14:17:17",,83.8
"2019-05-09 14:57:56",,88.9
"2019-05-09 15:47:22",,108
"2019-05-09 16:54:42",87.7
"2019-05-09 16:55:48",,109.1
"2019-05-09 17:55:20",,94.8
"2019-05-09 18:42:14",,102.8
"2019-05-09 20:10:58",89.1
"2019-05-09 20:11:25",,93.9
"2019-05-09 20:57:10",,97.1
"2019-05-09 22:26:32",,97.1
"2019-05-09 23:25:56",,85.1
"2019-05-09 23:29:58",89.2
"2019-05-10 00:49:17",,79.4
"2019-05-10 01:48:49",,76.2
"2019-05-10 02:40:09",87.8
"2019-05-10 02:48:18",,74.7
"2019-05-10 03:47:47",,74.2
"2019-05-10 04:47:17",,74.6
"2019-05-10 05:26:31",88.9
"2019-05-10 05:36:14",,82.8
"2019-05-10 06:35:43",,93.7
"2019-05-10 08:07:53",,95.6
"2019-05-10 08:33:57",87.4
"2019-05-10 09:37:06",,87.7
"2019-05-10 10:36:35",,80.4
"2019-05-10 11:14:30",,87.2
"2019-05-10 11:20:05",87
"2019-05-10 12:14:00",,101.3
"2019-05-10 13:13:33",,91.2
"2019-05-10 14:09:28",88.5
"2019-05-10 14:13:10",,83.9
"2019-05-10 15:27:39",,82.6
"2019-05-10 16:22:04",,101.5
"2019-05-10 17:13:10",,104.2
"2019-05-10 17:16:40",87.7
"2019-05-10 18:09:45",,96.5
"2019-05-10 18:42:47",88.2
"2019-05-10 18:48:45",88.8
"2019-05-10 18:54:41",89.1
"2019-05-10 19:00:38",89.3
"2019-05-10 19:06:35",89.3
"2019-05-10 19:09:20",,96.7
"2019-05-10 19:12:31",89.3
"2019-05-10 19:18:28",89.2
"2019-05-10 19:24:24",89
"2019-05-10 19:30:26",88.8
"2019-05-10 19:36:17",88.4
"2019-05-10 19:42:15",88.4
"2019-05-10 19:48:10",88.4
"2019-05-10 19:54:07",88.6
"2019-05-10 19:59:52",,89.8
"2019-05-10 20:00:04",88.9
"2019-05-10 20:05:47",,87.1
"2019-05-10 20:05:59",88.9
"2019-05-10 20:11:45",,86.7
"2019-05-10 20:11:56",88.9
"2019-05-10 20:17:41",,86.2
"2019-05-10 20:17:52",89.1
"2019-05-10 20:23:38",,85.7
"2019-05-10 20:23:49",89.1
"2019-05-10 20:29:34",,85.2
"2019-05-10 20:29:46",88.9
"2019-05-10 20:35:41",,86.2
"2019-05-10 20:35:42",88.5
"2019-05-10 20:41:31",,85.7
"2019-05-10 20:41:39",88.4
"2019-05-10 20:47:29",,85.8
"2019-05-10 20:47:39",88.6
"2019-05-10 20:53:27",,85.8
"2019-05-10 20:53:37",88.3
"2019-05-10 20:59:24",,85.8
"2019-05-10 20:59:29",88.1
"2019-05-10 21:05:21",,85.7
"2019-05-10 21:05:25",87.8
"2019-05-10 21:11:18",,85.4
"2019-05-10 21:11:21",87.5
"2019-05-10 21:17:14",,85
"2019-05-10 21:17:16",87.5
"2019-05-10 21:23:06",,86
"2019-05-10 21:23:12",87.6
"2019-05-10 21:24:49",,90.2
"2019-05-10 21:25:43",,94.7
"2019-05-10 21:29:08",87.8
"2019-05-10 21:29:37",,98.8
"2019-05-10 21:35:05",87.9
"2019-05-10 21:35:28",,101.4
"2019-05-10 21:41:02",88.2
"2019-05-10 21:41:25",,102.7
"2019-05-10 22:07:45",88.3
"2019-05-10 22:13:42",88.4
"2019-05-10 22:17:07",,100.4
"2019-05-10 22:19:37",88.4
"2019-05-10 22:23:13",,96.9
"2019-05-10 22:25:35",88.5
"2019-05-10 22:29:00",,96
"2019-05-10 22:31:32",88.6
"2019-05-10 22:34:57",,95
"2019-05-10 22:37:27",88.3
