"Time","Storage Tank 2 Outlet"
"2019-05-08 02:11:47",137.8
"2019-05-08 02:26:45",137.7
"2019-05-08 02:41:33",137.3
"2019-05-08 02:56:28",137.8
"2019-05-08 03:11:23",137.6
"2019-05-08 03:26:18",137.5
"2019-05-08 03:41:17",136.9
"2019-05-08 03:56:09",137.6
"2019-05-08 04:11:05",137.9
"2019-05-08 04:26:00",138
"2019-05-08 04:40:53",137.8
"2019-05-08 04:55:51",137.3
"2019-05-08 05:10:38",137.9
"2019-05-08 05:25:33",137.8
"2019-05-08 05:40:27",136.8
"2019-05-08 05:55:20",134.7
"2019-05-08 06:10:15",133.6
"2019-05-08 06:25:08",132.9
"2019-05-08 06:40:02",132.9
"2019-05-08 06:54:55",132.8
"2019-05-08 07:09:49",132.4
"2019-05-08 07:24:45",132.9
"2019-05-08 07:39:39",132.7
"2019-05-08 07:54:34",132.5
"2019-05-08 08:09:28",132.3
"2019-05-08 08:24:20",132.3
"2019-05-08 09:00:04",133.7
"2019-05-08 09:14:57",136
"2019-05-08 09:29:58",137.7
"2019-05-08 10:07:18",135.4
"2019-05-08 10:19:53",136.7
"2019-05-08 11:04:31",137.5
"2019-05-08 11:19:25",137.5
"2019-05-08 11:34:18",137.2
"2019-05-08 11:45:31",135.1
"2019-05-08 12:00:24",136.7
"2019-05-08 12:15:20",137.6
"2019-05-08 12:30:13",137.6
"2019-05-08 12:45:08",137
"2019-05-08 13:00:04",135.1
"2019-05-08 13:14:56",137.6
"2019-05-08 13:29:52",137.9
"2019-05-08 13:44:41",137.7
"2019-05-08 13:59:34",137.1
"2019-05-08 14:12:51",135.7
"2019-05-08 14:27:45",137.7
"2019-05-08 14:42:39",138.1
"2019-05-08 14:57:33",138
"2019-05-08 15:11:12",137.5
"2019-05-08 15:22:05",136.5
"2019-05-08 15:36:57",137.9
"2019-05-08 15:51:51",137.8
"2019-05-08 16:06:46",137.4
"2019-05-08 16:40:01",136.8
"2019-05-08 16:54:56",135.2
"2019-05-08 17:09:51",134.2
"2019-05-08 17:23:20",136.1
"2019-05-08 17:38:16",138
"2019-05-08 17:53:12",138.1
"2019-05-08 18:31:40",137.3
"2019-05-08 18:46:24",138.3
"2019-05-08 19:01:16",137.6
"2019-05-08 19:16:12",137
"2019-05-08 19:28:20",136.3
"2019-05-08 19:43:14",137.6
"2019-05-08 19:58:07",136.8
"2019-05-08 20:13:01",137.1
"2019-05-08 20:27:58",137.6
"2019-05-08 20:42:49",137.4
"2019-05-08 20:53:52",135.7
"2019-05-08 21:07:31",136.1
"2019-05-08 21:22:21",136.4
"2019-05-08 21:37:15",137.5
"2019-05-08 21:52:08",137.3
"2019-05-08 22:07:03",137
"2019-05-08 22:21:58",135.3
"2019-05-08 22:36:52",136.2
"2019-05-08 22:51:47",137.2
"2019-05-08 23:06:49",137.6
"2019-05-08 23:21:37",137.4
"2019-05-08 23:34:05",136.5
"2019-05-08 23:49:04",136
"2019-05-09 00:03:58",137.5
"2019-05-09 00:18:45",137.8
"2019-05-09 00:33:40",137.8
"2019-05-09 00:48:31",137.6
"2019-05-09 01:03:28",136.4
"2019-05-09 01:18:26",137.9
"2019-05-09 01:33:15",138.7
"2019-05-09 01:48:09",138.7
"2019-05-09 02:03:03",138.6
"2019-05-09 02:17:57",138.3
"2019-05-09 02:32:48",137.2
"2019-05-09 02:47:41",138.5
"2019-05-09 03:02:36",138.5
"2019-05-09 03:17:31",138.4
"2019-05-09 03:32:26",138.1
"2019-05-09 03:47:21",137.8
"2019-05-09 04:02:14",137.2
"2019-05-09 04:17:06",138.7
"2019-05-09 04:32:00",138.6
"2019-05-09 04:46:53",138.4
"2019-05-09 05:01:46",137.5
"2019-05-09 05:16:41",136.4
"2019-05-09 05:31:34",136.2
"2019-05-09 05:46:30",135.9
"2019-05-09 06:01:33",135.8
"2019-05-09 06:16:18",135.3
"2019-05-09 06:31:11",134.5
"2019-05-09 06:46:03",133.8
"2019-05-09 07:00:57",133.8
"2019-05-09 07:15:52",133.4
"2019-05-09 07:57:36",134.4
"2019-05-09 08:12:27",133.1
"2019-05-09 08:27:19",133.1
"2019-05-09 08:42:20",134
"2019-05-09 08:57:10",135.4
"2019-05-09 09:12:01",137.7
"2019-05-09 09:26:54",138
"2019-05-09 09:41:47",137.9
"2019-05-09 09:55:00",138.3
"2019-05-09 10:09:53",137.9
"2019-05-09 10:24:48",136.4
"2019-05-09 10:36:02",134.5
"2019-05-09 10:50:57",137.4
"2019-05-09 11:05:50",138.5
"2019-05-09 11:20:44",138.6
"2019-05-09 11:35:36",138.5
"2019-05-09 11:50:31",138.1
"2019-05-09 12:05:24",136.3
"2019-05-09 12:20:16",135.2
"2019-05-09 12:33:20",135.9
"2019-05-09 12:48:13",138.1
"2019-05-09 13:03:07",137.9
"2019-05-09 13:18:05",137.9
"2019-05-09 13:33:01",137.5
"2019-05-09 13:47:49",138.2
"2019-05-09 14:02:52",137.6
"2019-05-09 14:17:39",137.4
"2019-05-09 14:32:34",136.9
"2019-05-09 14:47:29",137.8
"2019-05-09 15:02:30",137.5
"2019-05-09 15:17:24",137.1
"2019-05-09 15:29:14",136.3
"2019-05-09 15:43:07",138.2
"2019-05-09 15:57:59",137.2
"2019-05-09 16:12:53",136.6
"2019-05-09 16:25:46",135.6
