"Time","TMV 1 DHW Outlet","DHW Return"
"2019-05-06 04:19:24",129.2
"2019-05-06 04:25:25",,123.5
"2019-05-06 04:54:35",,123.9
"2019-05-06 05:22:24",,123.8
"2019-05-06 05:39:34",129.2
"2019-05-06 05:50:44",,119.9
"2019-05-06 06:17:36",,122.8
"2019-05-06 06:43:56",,122.1
"2019-05-06 06:54:59",129
"2019-05-06 07:13:20",,119.6
"2019-05-06 07:39:06",,123
"2019-05-06 08:04:33",129
"2019-05-06 08:05:01",,120.2
"2019-05-06 08:34:17",,123.1
"2019-05-06 09:01:01",,122.8
"2019-05-06 09:21:30",127.7
"2019-05-06 09:30:42",,124.4
"2019-05-06 10:42:02",,124.6
"2019-05-06 11:08:00",128.9
"2019-05-06 11:08:16",,122.2
"2019-05-06 11:38:00",,124.6
"2019-05-06 12:03:15",,123.6
"2019-05-06 12:27:42",128.8
"2019-05-06 12:32:58",,124.7
"2019-05-06 13:02:38",,124.7
"2019-05-06 13:32:29",,124.3
"2019-05-06 13:48:05",128.7
"2019-05-06 14:10:52",,124.5
"2019-05-06 14:37:31",,124.1
"2019-05-06 15:05:19",,123.7
"2019-05-06 15:08:02",,124.7
"2019-05-06 15:08:54",128.9
"2019-05-06 15:10:39",,124.8
"2019-05-06 15:13:02",,125
"2019-05-06 15:15:45",,124.8
"2019-05-06 15:17:00",128.7
"2019-05-06 15:18:31",,124.9
"2019-05-06 15:21:03",,124.9
"2019-05-06 15:23:34",,124.7
"2019-05-06 15:25:56",,124.7
"2019-05-06 15:26:27",128.7
"2019-05-06 15:28:41",,124.7
"2019-05-06 15:31:08",,124.6
"2019-05-06 15:33:51",,124.3
"2019-05-06 15:36:01",128.7
"2019-05-06 15:36:20",,124.2
"2019-05-06 15:38:48",,124.4
"2019-05-06 15:41:12",,124.7
"2019-05-06 15:43:43",,124.6
"2019-05-06 15:45:47",128.7
"2019-05-06 15:46:13",,124.4
"2019-05-06 15:49:03",,124.5
"2019-05-06 15:51:59",,124.5
"2019-05-06 15:54:42",,124.5
"2019-05-06 15:55:22",128.7
"2019-05-06 15:57:05",,124.7
"2019-05-06 15:59:44",,124.4
"2019-05-06 16:02:12",,124.3
"2019-05-06 16:04:54",,124.5
"2019-05-06 16:07:30",,124.6
