"Time","TMV 1 DHW Outlet","TMV 1 DHW Inlet"
"2019-05-05 21:48:51",,141.7
"2019-05-05 22:15:31",,142.4
"2019-05-05 22:40:21",128.8
"2019-05-05 22:42:15",,142
"2019-05-05 23:08:50",,141.9
"2019-05-05 23:35:31",,142.3
"2019-05-06 00:00:39",128.9
"2019-05-06 00:02:09",,141.8
"2019-05-06 00:28:55",,142.4
"2019-05-06 00:55:32",,142.3
"2019-05-06 01:20:50",128.9
"2019-05-06 01:22:10",,141.9
"2019-05-06 02:06:33",,142.4
"2019-05-06 02:33:14",,141.9
"2019-05-06 02:58:59",129
"2019-05-06 02:59:54",,142.4
"2019-05-06 03:26:35",,142.6
"2019-05-06 03:50:22",,142.4
"2019-05-06 04:14:10",,138.9
"2019-05-06 04:19:24",129.2
"2019-05-06 04:40:51",,142.6
"2019-05-06 05:04:47",,142.2
"2019-05-06 05:31:25",,142.6
"2019-05-06 05:39:34",129.2
"2019-05-06 05:58:04",,142
"2019-05-06 06:24:45",,142.7
"2019-05-06 06:51:23",,142.5
"2019-05-06 06:54:59",129
"2019-05-06 07:10:52",,137.9
"2019-05-06 07:30:59",,141.4
"2019-05-06 07:57:40",,142.5
"2019-05-06 08:04:33",129
"2019-05-06 08:21:19",,142
"2019-05-06 08:48:01",,141.7
"2019-05-06 09:14:27",,141
"2019-05-06 09:21:30",127.7
"2019-05-06 09:41:08",,140
"2019-05-06 10:48:12",,140.4
"2019-05-06 11:08:00",128.9
"2019-05-06 11:14:24",,141.7
"2019-05-06 11:41:04",,142.2
"2019-05-06 12:07:47",,141.5
"2019-05-06 12:27:42",128.8
"2019-05-06 12:31:03",,140.7
"2019-05-06 12:57:49",,142.4
"2019-05-06 13:24:32",,142.2
"2019-05-06 13:48:05",128.7
"2019-05-06 13:48:21",,140.6
"2019-05-06 14:26:01",,141.2
"2019-05-06 15:07:39",,141.4
"2019-05-06 15:08:54",128.9
"2019-05-06 15:12:39",,140.7
"2019-05-06 15:15:20",,140.1
"2019-05-06 15:17:00",128.7
"2019-05-06 15:18:33",,139.7
"2019-05-06 15:23:05",,139.5
"2019-05-06 15:26:27",128.7
"2019-05-06 15:27:07",,139.2
"2019-05-06 15:30:26",,139.1
"2019-05-06 15:33:56",,138.9
"2019-05-06 15:36:01",128.7
"2019-05-06 15:38:09",,138.9
"2019-05-06 15:42:06",,138.8
"2019-05-06 15:45:15",,138.7
"2019-05-06 15:45:47",128.7
"2019-05-06 15:52:57",,138.6
"2019-05-06 15:55:22",128.7
"2019-05-06 15:58:07",,138.4
"2019-05-06 16:03:15",,139.3
"2019-05-06 16:08:26",,140.5
"2019-05-06 16:09:54",128.6
"2019-05-06 16:15:15",,141.5
"2019-05-06 16:17:31",,141.8
"2019-05-06 16:19:59",,141.8
"2019-05-06 16:22:23",,141.8
"2019-05-06 16:25:35",,141.8
"2019-05-06 16:26:32",128.5
"2019-05-06 16:28:44",,141.8
"2019-05-06 16:31:37",,141.8
"2019-05-06 16:34:13",,141.8
"2019-05-06 16:37:27",,141.8
"2019-05-06 16:40:16",,141.8
"2019-05-06 16:42:11",128.5
"2019-05-06 16:42:49",,141.7
"2019-05-06 16:45:20",,141.7
"2019-05-06 16:47:47",,141.7
"2019-05-06 16:50:15",,141.7
"2019-05-06 16:53:14",,141.7
"2019-05-06 16:55:57",,141.7
"2019-05-06 16:58:43",,141.7
"2019-05-06 16:59:16",128.6
"2019-05-06 17:01:35",,141.7
"2019-05-06 17:04:12",,141.6
"2019-05-06 17:07:22",,141.2
"2019-05-06 17:13:11",,140.7
"2019-05-06 17:17:00",,140.1
"2019-05-06 17:19:41",,139.6
"2019-05-06 17:20:24",128.9
"2019-05-06 17:22:40",,139.4
"2019-05-06 17:25:31",,139.9
"2019-05-06 17:28:11",,140.5
"2019-05-06 17:30:39",,141.3
"2019-05-06 17:32:11",129
"2019-05-06 17:33:41",,142
"2019-05-06 17:36:11",,142.2
"2019-05-06 17:39:21",,142.3
"2019-05-06 17:42:32",,142.4
"2019-05-06 17:47:12",,142.4
"2019-05-06 17:49:04",129
"2019-05-06 17:50:35",,142.2
"2019-05-06 17:54:01",,142.2
"2019-05-06 17:56:50",,142.2
"2019-05-06 17:58:58",,142.2
"2019-05-06 18:01:16",,142.1
"2019-05-06 18:01:59",128.9
"2019-05-06 18:03:48",,142.1
"2019-05-06 18:06:28",,142.1
"2019-05-06 18:11:23",,142.1
"2019-05-06 18:14:57",,142
"2019-05-06 18:17:55",,141.8
"2019-05-06 18:20:21",128.9
"2019-05-06 18:20:47",,141.8
"2019-05-06 18:23:25",,141.8
"2019-05-06 18:26:10",,141
"2019-05-06 18:29:13",,139.9
"2019-05-06 18:31:49",,140.3
"2019-05-06 18:32:38",128.9
"2019-05-06 18:34:19",,140.8
"2019-05-06 18:36:35",,141.3
"2019-05-06 18:39:04",,141.8
"2019-05-06 18:41:45",,142.1
"2019-05-06 18:43:29",128.8
"2019-05-06 18:44:19",,142.1
"2019-05-06 18:46:46",,142.1
"2019-05-06 18:49:04",,142.1
"2019-05-06 18:51:13",128.7
"2019-05-06 18:51:47",,142.1
"2019-05-06 18:55:47",,142.1
"2019-05-06 18:58:58",,142.1
"2019-05-06 19:02:27",128.8
"2019-05-06 19:03:48",,141.9
"2019-05-06 19:07:43",,141.8
"2019-05-06 19:11:23",,141.8
"2019-05-06 19:13:59",128.8
"2019-05-06 19:14:50",,141.8
"2019-05-06 19:18:55",,141.8
"2019-05-06 19:21:53",,141.8
"2019-05-06 19:25:12",,141.8
"2019-05-06 19:28:45",,141.7
"2019-05-06 19:31:11",,141.6
"2019-05-06 19:34:14",,141.1
"2019-05-06 19:36:49",129.2
"2019-05-06 19:37:07",,139.9
"2019-05-06 19:40:33",,139
"2019-05-06 19:43:54",,139.4
"2019-05-06 19:46:39",,140.1
"2019-05-06 19:49:59",,140.7
"2019-05-06 19:50:37",129.3
"2019-05-06 19:53:56",,141.4
"2019-05-06 19:58:13",,141.9
"2019-05-06 20:03:44",,142.1
"2019-05-06 20:07:16",,142.1
"2019-05-06 20:08:37",129.2
"2019-05-06 20:09:50",,142.1
"2019-05-06 20:12:11",,142.1
"2019-05-06 20:15:19",,142.1
"2019-05-06 20:18:23",,141.9
"2019-05-06 20:21:01",129
"2019-05-06 20:22:04",,141.8
"2019-05-06 20:25:05",,141.8
"2019-05-06 20:30:19",,141.8
"2019-05-06 20:33:35",,141.7
"2019-05-06 20:36:40",,141.7
"2019-05-06 20:38:31",129.1
"2019-05-06 20:38:58",,141.7
"2019-05-06 20:41:58",,141.4
"2019-05-06 20:44:55",,139.7
"2019-05-06 20:48:13",,139.8
"2019-05-06 20:51:15",,141.4
"2019-05-06 20:54:15",,141.9
"2019-05-06 20:54:59",129.2
"2019-05-06 20:56:35",,142.3
"2019-05-06 21:02:31",,142.4
"2019-05-06 21:29:12",,141.4
"2019-05-06 21:29:37",129
"2019-05-06 21:54:09",,140.6
"2019-05-06 22:20:51",,142.1
"2019-05-06 22:46:17",129
"2019-05-06 22:47:36",,141.9
"2019-05-06 23:14:12",,139.6
"2019-05-06 23:40:54",,141.2
"2019-05-07 00:06:38",129
"2019-05-07 00:07:35",,141.2
"2019-05-07 00:34:16",,139.7
"2019-05-07 01:01:00",,141.5
"2019-05-07 01:27:39",,141.4
"2019-05-07 01:41:50",128.8
"2019-05-07 01:54:22",,140.3
"2019-05-07 02:21:04",,142.1
"2019-05-07 02:47:40",,142.1
"2019-05-07 03:02:08",128.9
"2019-05-07 03:14:30",,141.1
"2019-05-07 03:41:03",,141.8
"2019-05-07 04:07:44",,142.1
"2019-05-07 04:22:25",128.9
"2019-05-07 04:34:24",,141.2
"2019-05-07 05:01:07",,141.6
"2019-05-07 05:27:41",,142.1
"2019-05-07 05:42:45",129.2
"2019-05-07 05:54:23",,140.5
"2019-05-07 06:21:04",,141.3
"2019-05-07 06:47:39",,138.5
"2019-05-07 07:01:47",129.1
"2019-05-07 07:14:24",,137.1
"2019-05-07 07:40:59",,136.8
"2019-05-07 08:07:38",,136.4
"2019-05-07 08:22:05",129
"2019-05-07 08:34:20",,138.6
"2019-05-07 09:01:04",,141.8
"2019-05-07 09:27:43",,142.1
"2019-05-07 09:42:23",129.1
"2019-05-07 09:54:24",,142
"2019-05-07 10:21:12",,141.3
"2019-05-07 10:47:48",,141.5
"2019-05-07 11:00:57",129
"2019-05-07 11:14:29",,139.7
"2019-05-07 11:37:22",,141.5
"2019-05-07 12:04:03",,139.1
"2019-05-07 12:20:17",128.8
"2019-05-07 12:26:19",,140.8
"2019-05-07 12:52:59",,140.9
"2019-05-07 13:19:40",,140.3
"2019-05-07 13:40:37",128.7
"2019-05-07 13:46:16",,141.7
"2019-05-07 14:12:54",,141.2
"2019-05-07 14:38:21",,141.6
"2019-05-07 14:57:19",128.6
"2019-05-07 15:04:57",,139.5
"2019-05-07 15:31:40",,139.3
"2019-05-07 15:58:20",,141.9
"2019-05-07 16:39:53",128.7
"2019-05-07 16:45:44",,141.6
"2019-05-07 17:12:25",,141.3
"2019-05-07 18:02:20",,139.9
"2019-05-07 18:21:56",128.8
"2019-05-07 19:16:47",,138.8
