"Time","02-02 Riser Return","02 Riser Return"
"2019-04-22 16:00:18",94.1
"2019-04-22 16:27:07",94.5
"2019-04-22 16:53:51",100.4
"2019-04-22 17:20:49",98.7
"2019-04-22 17:43:34",93.3
"2019-04-22 18:10:28",96.1
"2019-04-22 18:37:28",93.6
"2019-04-22 19:03:34",96.4
"2019-04-22 19:30:26",101
"2019-04-22 19:56:47",,91.8
"2019-04-22 19:57:20",99.2
"2019-04-22 20:14:41",,92.7
"2019-04-22 20:23:00",100.5
"2019-04-22 20:31:57",,93.8
"2019-04-22 20:43:51",102.1
"2019-04-22 20:49:51",,95.5
"2019-04-22 21:07:56",,95
"2019-04-22 21:10:11",102.7
"2019-04-22 21:25:46",,95.2
"2019-04-22 21:52:00",101.6
"2019-04-22 21:58:33",,92.7
"2019-04-22 22:16:29",,89.8
"2019-04-22 22:18:52",94.6
"2019-04-22 22:34:22",,87.3
"2019-04-22 22:43:55",89.5
"2019-04-22 22:51:21",,86.3
"2019-04-22 23:05:07",93
"2019-04-22 23:09:09",,87.9
"2019-04-22 23:27:05",,90.7
"2019-04-22 23:31:07",97.8
"2019-04-22 23:44:59",,94
"2019-04-22 23:58:00",102.5
"2019-04-23 00:02:54",,94.4
"2019-04-23 00:20:48",,92.4
"2019-04-23 00:24:53",99.1
"2019-04-23 00:38:46",,92.3
"2019-04-23 00:51:45",97.9
"2019-04-23 00:56:34",,91.1
"2019-04-23 01:14:37",,90.8
"2019-04-23 01:18:42",97.4
"2019-04-23 01:32:31",,92.7
"2019-04-23 01:45:40",101.7
"2019-04-23 01:50:21",,94.6
"2019-04-23 02:08:17",,94.8
"2019-04-23 02:12:27",102.4
"2019-04-23 02:26:10",,93.9
"2019-04-23 02:39:13",100.8
"2019-04-23 02:44:06",,93.3
"2019-04-23 03:02:05",,92.6
"2019-04-23 03:06:04",98.9
"2019-04-23 03:19:56",,90.1
"2019-04-23 03:32:59",94.8
"2019-04-23 03:37:51",,89.6
"2019-04-23 03:55:45",,89.3
"2019-04-23 04:00:03",95
"2019-04-23 04:13:42",,89.2
"2019-04-23 04:26:45",96.9
"2019-04-23 04:31:37",,91.6
"2019-04-23 04:49:31",,93.7
"2019-04-23 04:53:36",101
"2019-04-23 05:07:26",,92.5
"2019-04-23 05:16:28",97.4
"2019-04-23 05:25:19",,91.7
"2019-04-23 05:43:13",,91.9
"2019-04-23 05:43:21",98.4
"2019-04-23 06:01:06",,90.5
"2019-04-23 06:09:21",97.1
"2019-04-23 06:19:01",,91.9
"2019-04-23 06:30:20",98.2
"2019-04-23 06:36:22",,91.8
"2019-04-23 06:54:09",,93.9
"2019-04-23 06:57:23",101.4
"2019-04-23 07:12:01",,95.3
"2019-04-23 07:23:57",103.7
"2019-04-23 07:30:05",,95.7
"2019-04-23 07:47:51",,94
"2019-04-23 07:51:01",101.5
"2019-04-23 08:05:48",,90.8
"2019-04-23 08:15:20",95.8
"2019-04-23 08:23:41",,90.4
"2019-04-23 08:39:24",98.7
"2019-04-23 08:41:33",,91.7
"2019-04-23 08:59:32",,94.2
"2019-04-23 09:06:10",101.6
"2019-04-23 09:17:20",,93.3
"2019-04-23 09:33:09",96.6
"2019-04-23 09:35:25",,90.4
"2019-04-23 09:52:54",,89.6
"2019-04-23 09:54:43",94.9
"2019-04-23 10:10:45",,91
"2019-04-23 10:21:35",96.6
"2019-04-23 10:28:39",,89.9
"2019-04-23 10:46:37",,87.6
"2019-04-23 10:48:27",92.6
"2019-04-23 11:04:36",,86.8
"2019-04-23 11:09:18",92.5
"2019-04-23 11:22:16",,91.4
"2019-04-23 11:33:05",99.6
"2019-04-23 11:40:09",,93.4
"2019-04-23 11:58:05",,94.1
"2019-04-23 11:58:41",101.3
"2019-04-23 12:16:01",,93
"2019-04-23 12:25:33",99.7
"2019-04-23 12:33:54",,93.6
"2019-04-23 12:51:48",,93.4
"2019-04-23 12:52:25",100.3
"2019-04-23 13:09:52",,93.4
"2019-04-23 13:19:19",100.3
"2019-04-23 13:27:33",,93.4
"2019-04-23 13:45:29",,92.2
"2019-04-23 13:46:10",98.5
"2019-04-23 14:03:24",,92.1
"2019-04-23 14:13:00",98
"2019-04-23 14:21:23",,91.7
"2019-04-23 14:39:08",,92
"2019-04-23 14:39:50",97.8
"2019-04-23 14:57:01",,92.9
"2019-04-23 15:06:44",100.1
"2019-04-23 15:14:59",,93.8
"2019-04-23 15:32:46",,93.1
"2019-04-23 15:33:36",99.5
"2019-04-23 15:50:38",,93.7
"2019-04-23 15:59:28",101.5
"2019-04-23 16:08:40",,95.3
"2019-04-23 16:26:20",102.1
"2019-04-23 16:26:28",,94.5
"2019-04-23 16:44:24",,93.7
"2019-04-23 16:53:23",99.9
"2019-04-23 17:02:18",,92.8
"2019-04-23 17:20:11",,92
"2019-04-23 17:20:12",98
"2019-04-23 17:38:05",,91.3
"2019-04-23 17:47:02",97.1
"2019-04-23 17:56:02",,91.9
"2019-04-23 18:14:00",99.8
"2019-04-23 18:14:01",,93.5
"2019-04-23 18:31:47",,93.6
"2019-04-23 18:40:49",99.5
"2019-04-23 18:49:43",,92.5
"2019-04-23 19:07:35",,92.2
"2019-04-23 19:07:41",98.1
"2019-04-23 19:25:29",,92.4
"2019-04-23 19:34:36",99.6
"2019-04-23 19:43:23",,94.3
"2019-04-23 20:01:19",,94.7
"2019-04-23 20:01:26",101.7
"2019-04-23 20:19:17",,92.7
"2019-04-23 20:28:23",97.7
"2019-04-23 20:37:14",,92.1
"2019-04-23 20:55:11",98.1
"2019-04-23 20:55:24",,92.1
"2019-04-23 21:12:56",,91.9
"2019-04-23 21:19:15",98.6
"2019-04-23 21:30:55",,93.2
"2019-04-23 21:46:08",97
"2019-04-23 21:48:45",,90.9
"2019-04-23 22:06:39",,88.8
